,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Num Aliphatic Carbocycles,0.0012238150041546283,5.778241640836836,18.94691331164671,8.11989722230961,18.609263295125057,0.44640821075054915,3.1099497677395096
Num Heteroatoms,9.64917400546957,2.2735721973841723,0.014341199919338039,0.3347356350525941,0.002542282160996974,0.9233812790594413,1.9787148617218635
Num Hydrogen Bond Acceptor,9.229304770274455,0.98869255738223,0.5720556736583521,0.9456734469932994,0.2623493990509278,1.848438750213412,2.4330754794075653
Num Aromatic Carbocycles,1.2413154112762104,3.867416472370374,17.995679723438506,6.124065869813059,6.277009840015905,15.694949326283275,5.5297662810663475
LogP,0.11642894380625914,13.024527334477426,2.230823509180398,8.80986675789094,1.2611689695790471,0.8886460466125546,50.54065884797107
Num Rotatable Bonds,5.351706933726227,1.1058584673060052,2.258250808936975,7.29672582974276,0.7670371576651637,22.337025364796453,2.4686650473820038
Num Aromatic Heterocycles,0.9445346043765457,0.5638728060965733,6.809763070316902,17.85070039090118,38.04981694634634,2.3952088645560554,0.4629708569651413
Num Lipinski HB Donor,5.724943692905874,7.716477244666809,0.7528232927303853,0.07265880965835064,0.5378501559117657,20.325408288448653,8.17485638410698
Num Atoms,9.944061937135787,1.5347849350316867,0.031506576586941885,3.270806468112398,0.02201487135423463,1.7180243971339733,0.021061720095893285
Num Lipinski HB Acceptor,10.261628632035048,2.060248491413738,0.1877646474537101,0.4351316538820479,0.10133274758308976,0.1375228561506608,0.030446283525785444
Num Rings,3.7667795466436242,19.56408548065974,0.32099870498628313,0.056124793015044784,1.094876360512604,4.89169674940308,1.678118670780541
Num Hydrogen bond Donor,6.066341051990373,6.7892808574459895,0.7638625561459578,0.507106163225001,0.7244170653079476,14.31074626176317,12.880694127065054
Num Aliphatic Rings,1.1852528212628743,12.365250091912193,20.898898630382202,0.003798116052309689,9.125604628341572e-05,0.520320597809,0.08965391505043045
Num Aliphatic Heterocycles,2.6747471521761197,6.021527676775658,2.8029288695565757,11.720193974971762,28.215594019630373,0.08250449066662154,2.9440539892844164
Num Heterocycles,3.512437963212023,5.808764625050801,0.016748809328103076,26.705742498558234,0.6222622957220872,0.4188132738587953,3.145335001647999
Mol Wt,9.521989115613913,0.3455539831938503,0.051268123445908136,3.9173478435159317,0.278170503532176,2.9646225426072075,0.3093561066881219
Labute ASA,9.655205637255063,0.9993258494801032,0.04376990380530866,3.5595910416705476,0.25112402098828396,3.430353663916757,1.8104665392549915
Num Aromatic Rings,2.1595770173267006,4.146706212634562,24.6488777923005,0.1815058780296871,2.3238997390813845,5.4436920294535,2.3183421979349315
Topological Polar SA,8.993346948509188,5.045813075881249,0.6527247961809294,0.08832760660523216,0.5991790743863354,1.2222370065168462,0.07381392231136334
